-BEGIN HEADER-,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,,,,,,,,
Dates (month/day/year): 06/01/2018 through 06/30/2021 ,,,,,,,,,,,,
Location: Latitude  50.8315   Longitude 3.2317 ,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 16.78 meters,,,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,
SZA                   CERES SYN1deg Solar Zenith Angle (Degrees) ,,,,,,,,,,,,
ALLSKY_SRF_ALB        CERES SYN1deg All Sky Surface Albedo (dimensionless) ,,,,,,,,,,,,
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) ,,,,,,,,,,,,
PS                    MERRA-2 Surface Pressure (kPa) ,,,,,,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) ,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,
YEAR,MO,DY,HR,SZA,ALLSKY_SRF_ALB,CLRSKY_SFC_SW_DWN,T2M,QV2M,PRECTOTCORR,PS,WS10M,WD10M
2018,6,1,0,90,-999,0,15.89,10.44,0,101.41,1.51,73.81
2018,6,1,1,90,-999,0,16,10.38,0,101.43,0.96,81.15
2018,6,1,2,90,-999,0,16.23,10.31,0,101.45,0.18,36.38
2018,6,1,3,90,-999,0,15.17,10.19,0.01,101.45,0.97,304.84
2018,6,1,4,84.51,0.18,40.35,14.71,10.13,0.02,101.46,1.59,304.16
2018,6,1,5,75.88,0.18,150.6,15.53,10.19,0.02,101.48,2.52,301.18
2018,6,1,6,66.59,0.19,300.25,16.58,10.19,0,101.52,2.86,293.98
