Time,Power - Grid L1,Power - Grid L2,Power - Grid L3,Total
1602663300000.00,,,,0
1602664200000.00,,,,0
1602665100000.00,,,,0
1602666000000.00,,,,0
1602666900000.00,,,,0
1602667800000.00,,,,0
1602668700000.00,,,,0
1602669600000.00,,,,0
1602670500000.00,,,,0
1602671400000.00,,,,0
1602672300000.00,,,,0
1602673200000.00,,,,0
1602674100000.00,,,,0
1602675000000.00,,,,0
1602675900000.00,,,,0
1602676800000.00,,,,0
1602677700000.00,,,,0
1602678600000.00,,,,0
1602679500000.00,,,,0
1602680400000.00,,,,0
1602681300000.00,,,,0
1602682200000.00,,,,0
1602683100000.00,,,,0
1602684000000.00,,,,0
1602684900000.00,,,,0
1602685800000.00,,,,0
1602686700000.00,,,,0
1602687600000.00,,,,0
1602688500000.00,,,,0
1602689400000.00,,,,0
1602690300000.00,,,,0
1602691200000.00,,,,0
1602692100000.00,,,,0
1602693000000.00,,,,0
1602693900000.00,,,,0
1602694800000.00,,,,0
1602695700000.00,,,,0
1602696600000.00,,,,0
1602697500000.00,,,,0
1602698400000.00,,,,0
1602699300000.00,,,,0
1602700200000.00,,,,0
1602701100000.00,,,,0
1602702000000.00,,,,0
1602702900000.00,,,,0
1602703800000.00,,,,0
1602704700000.00,,,,0
1602705600000.00,,,,0
1602706500000.00,,,,0
1602707400000.00,,,,0
1602708300000.00,,,,0
1602709200000.00,,,,0
1602710100000.00,,,,0
1602711000000.00,,,,0
1602711900000.00,,,,0
1602712800000.00,,,,0
1602713700000.00,,,,0
1602714600000.00,,,,0
1602715500000.00,,,,0
1602716400000.00,,,,0
1602717300000.00,,,,0
1602718200000.00,,,,0
1602719100000.00,,,,0
1602720000000.00,,,,0
1602720900000.00,,,,0
1602721800000.00,,,,0
1602722700000.00,,,,0
1602723600000.00,,,,0
1602724500000.00,,,,0
1602725400000.00,,,,0
1602726300000.00,,,,0
1602727200000.00,,,,0
1602728100000.00,,,,0
1602729000000.00,,,,0
1602729900000.00,,,,0
1602730800000.00,,,,0
1602731700000.00,,,,0
1602732600000.00,,,,0
1602733500000.00,,,,0
1602734400000.00,,,,0
1602735300000.00,,,,0
1602736200000.00,,,,0
1602737100000.00,,,,0
1602738000000.00,,,,0
1602738900000.00,,,,0
1602739800000.00,,,,0
1602740700000.00,,,,0
1602741600000.00,,,,0
1602742500000.00,,,,0
1602743400000.00,,,,0
1602744300000.00,,,,0
1602745200000.00,,,,0
1602746100000.00,,,,0
1602747000000.00,,,,0
1602747900000.00,,,,0
1602748800000.00,,,,0
1602749700000.00,,,,0
1602750600000.00,,,,0
1602751500000.00,,,,0
1602752400000.00,,,,0
1602753300000.00,,,,0
1602754200000.00,,,,0
1602755100000.00,,,,0
1602756000000.00,,,,0
1602756900000.00,,,,0
1602757800000.00,,,,0
1602758700000.00,,,,0
1602759600000.00,,,,0
1602760500000.00,,,,0
1602761400000.00,,,,0
1602762300000.00,,,,0
1602763200000.00,,,,0
1602764100000.00,,,,0
1602765000000.00,,,,0
1602765900000.00,,,,0
1602766800000.00,,,,0
1602767700000.00,,,,0
1602768600000.00,,,,0
1602769500000.00,,,,0
1602770400000.00,-2705.913462,-10643.74038,-8590.259615,-21939.91346
1602771300000.00,-2154.867778,-8956.362222,-7957.893333,-19069.12333
1602772200000.00,-724.7333333,-7693.471111,-6777.376667,-15195.58111
1602773100000.00,1055.511111,-5488.92,-4875.624444,-9309.033333
1602774000000.00,1119.978889,-5077.244444,-4705.788889,-8663.054444
1602774900000.00,1443.503333,-4419.112222,-3842.122222,-6817.731111
1602775800000.00,2049.073333,-3453.076667,-2713.947778,-4117.951111
1602776700000.00,2108.901111,-2653.591111,-1935.055556,-2479.745556
1602777600000.00,1877.062222,-1471.455556,-1576.877778,-1171.271111
1602778500000.00,2357.182222,-1292.982222,-889.6888889,174.5111111
1602779400000.00,2709.895556,-124.4911111,-277.7722222,2307.632222
1602780300000.00,3225.09,-105.5577778,247.2822222,3366.814444
1602781200000.00,2988.504444,-119.9044444,460.4122222,3329.012222
1602782100000.00,3612.548889,-758.8711111,404.9622222,3258.64
1602783000000.00,3306.456667,-746.5366667,605.4588889,3165.378889
1602783900000.00,3288.328889,-553.3766667,407.67,3142.622222
1602784800000.00,2973.257778,-672.5255556,786.22,3086.952222
1602785700000.00,2704.445556,-301.5644444,657.7755556,3060.656667
1602786600000.00,2567.621111,-463.6077778,574.9655556,2678.978889
1602787500000.00,2733.905556,-766.2688889,829.2066667,2796.843333
1602788400000.00,1971.707778,-1829.227778,-643.9644444,-501.4844444
1602789300000.00,2851.108889,-259.02,348.1522222,2940.241111
1602790200000.00,2847.611111,-211.68,623.7555556,3259.686667
1602791100000.00,78512.94667,75541.75222,76327.39222,230382.0911
1602792000000.00,4033.265556,-87.66,998.91,4944.515556
1602792900000.00,3276.121111,-602.0444444,231.3466667,2905.423333
1602793800000.00,2970.34,-502.1833333,417.8777778,2886.034444
1602794700000.00,3147.605556,-600.8255556,341.9677778,2888.747778
1602795600000.00,2927.951111,-746.4044444,499.2622222,2680.808889
1602796500000.00,2726.478889,-224.4633333,517.1222222,3019.137778
1602797400000.00,25791.22,21646.01556,23257.90444,70695.14
1602798300000.00,3351.508889,-920.4988889,321.02,2752.03
1602799200000.00,2837.88,-372.1077778,334.5955556,2800.367778
1602800100000.00,3064.482222,-625.5977778,297.7655556,2736.65
1602801000000.00,2992.296667,-705.4455556,451.6777778,2738.528889
1602801900000.00,2668.453333,-684.1611111,580.7744444,2565.066667
1602802800000.00,2385.36,-602.1344444,744.7844444,2528.01
1602803700000.00,2571.828889,-840.7588889,703.61,2434.68
1602804600000.00,28815.24778,25665.86,27030.14556,81511.25333
1602805500000.00,3288.262222,-1288.98,415.65,2414.932222
1602806400000.00,7905.744751,4016.61105,5005.234254,16927.59006
1602807300000.00,3122.404444,-172.7644444,489.1233333,3438.763333
