Time,Power - Grid L1,Power - Grid L2,Power - Grid L3,Total Grid Power
1602396000000.00,,,,0
1602417600000.00,,,,0
1602439200000.00,,,,0
1602460800000.00,,,,0
1602482400000.00,,,,0
1602504000000.00,,,,0
1602525600000.00,,,,0
1602547200000.00,,,,0
1602568800000.00,,,,0
1602590400000.00,,,,0
1602612000000.00,,,,0
1602633600000.00,,,,0
1602655200000.00,,,,0
1602676800000.00,,,,0
1602698400000.00,,,,0
1602720000000.00,,,,0
1602741600000.00,,,,0
1602763200000.00,2575,-862,763,2476
1602784800000.00,2935,-915,311,2331
1602806400000.00,3977,-1938,-28,2011
1602828000000.00,-9671,-14699,-13608,-37978
1602849600000.00,2022,-193,225,2054
1602871200000.00,2972,-1025,372,2319
1602892800000.00,4064,282,798,5144
1602914400000.00,483492,483440,482380,1449312
1602936000000.00,496286,498530,497722,1492538
1602957600000.00,2532,-1162,438,1808
1602979200000.00,3475,-1761,516,2230
1603000800000.00,485438,485944,488620,1460002
1603022400000.00,1819,1415,1201,4435
1603044000000.00,2142,-419,355,2078
1603065600000.00,3661,-2074,140,1727
1603087200000.00,-5477,-9623,-8137,-23237
1603108800000.00,501307,496624,502679,1500610
1603130400000.00,3792,-1325,1844,4311
1603152000000.00,4601,-2677,1292,3216
1603173600000.00,-2265,-2650,-2614,-7529
1603195200000.00,1422,464,321,2207
1603216800000.00,2437,-787,551,2201
1603238400000.00,2692,-1291,561,1962
1603260000000.00,70744,67767,70035,208546
1603281600000.00,5548,942,3324,9814
1603303200000.00,5326,-588,4387,9125
1603324800000.00,4733,-1241,2228,5720
1603346400000.00,-5276,-10600,-9683,-25559
1603368000000.00,-8190,-12129,-11569,-31888
1603389600000.00,-8459,-10940,-10932,-30331
1603411200000.00,-20786,-25846,-24701,-71333
1603432800000.00,-8087,-9213,-8862,-26162
1603454400000.00,2628,1441,1378,5447
1603476000000.00,2453,1498,1440,5391
1603497600000.00,87143,85608,85708,258459
1603519200000.00,-6208,-12614,-8277,-27099
1603540800000.00,3946,-1153,2607,5400
1603562400000.00,6384,-2112,4663,8935
1603584000000.00,-490629,-500921,-496436,-1487986
1603605600000.00,1230,-3102,-2986,-4858
1603627200000.00,3295,1458,884,5637
1603648800000.00,3609,-859,1900,4650
1603670400000.00,2715,-482,-471,1762
1603692000000.00,-10578,-14763,-12860,-38201
1603713600000.00,3448,-3120,1312,1640
1603735200000.00,-3499,-7366,-6670,-17535
1603756800000.00,-15275,-18348,-17259,-50882
1603778400000.00,-8506,-14372,-11064,-33942
1603800000000.00,497658,491671,499210,1488539
1603821600000.00,-3417,-9729,-7109,-20255
1603843200000.00,2573,2078,1922,6573
1603864800000.00,-1644,-7943,-3171,-12758
1603886400000.00,-19604,-24197,-23046,-66847
1603908000000.00,498171,495862,500427,1494460
1603929600000.00,-7595,-14593,-11507,-33695
1603951200000.00,-46244,-53712,-50973,-150929
1603972800000.00,-20857,-27226,-24194,-72277
1603994400000.00,-8471,-14351,-11990,-34812
1604016000000.00,4026,-1003,2486,5509
1604037600000.00,-21200,-26576,-23984,-71760
1604059200000.00,-17260,-20816,-19790,-57866
1604080800000.00,-4427,-9782,-5862,-20071
1604102400000.00,-10708,-16444,-11891,-39043
1604124000000.00,-3570,-9292,-5467,-18329
1604145600000.00,-3571,-11254,-5554,-20379
1604167200000.00,498205,493735,500107,1492047
1604188800000.00,-4859,-11502,-5078,-21439
1604210400000.00,-7748,-13073,-8318,-29139
1604232000000.00,-5935,-11707,-8544,-26186
1604253600000.00,-10250,-16642,-11293,-38185
1604275200000.00,-11164,-17913,-12193,-41270
1604296800000.00,-10342,-15229,-11904,-37475
1604318400000.00,-19816,-24695,-22467,-66978
1604340000000.00,-18586,-22575,-21487,-62648
1604361600000.00,-5896,-9776,-7931,-23603
1604383200000.00,478565,474788,481761,1435114
1604404800000.00,-17308,-21459,-19952,-58719
1604426400000.00,-5889,-9382,-8124,-23395
1604448000000.00,-7278,-9914,-10783,-27975
1604469600000.00,-11562,-14841,-14787,-41190
1604491200000.00,-6282,-7805,-9099,-23186
1604512800000.00,-5213,-6823,-8253,-20289
1604534400000.00,3530,100,-1007,2623
1604556000000.00,-11885,-15881,-14852,-42618
1604577600000.00,4079,1765,1398,7242
1604599200000.00,2563,-333,634,2864
1604620800000.00,3969,335,1827,6131
1604642400000.00,-16314,-21864,-19952,-58130
1604664000000.00,-6264,-11698,-10182,-28144
1604685600000.00,-5436,-7939,-7348,-20723
1604707200000.00,-5713,-9662,-8303,-23678
1604728800000.00,-7452,-9472,-10312,-27236
1604750400000.00,2242,350,670,3262
1604772000000.00,1889,607,-44,2452
1604793600000.00,2292,-833,729,2188
1604815200000.00,-45903,-51656,-49597,-147156
1604836800000.00,-78256,-82393,-81380,-242029
1604858400000.00,4394,-1706,122,2810
1604880000000.00,4263,-2851,1099,2511
1604901600000.00,-11463,-16483,-14138,-42084
1604923200000.00,3302,-942,1432,3792
1604944800000.00,3769,-1533,526,2762
1604966400000.00,3809,-475,-146,3188
1604988000000.00,-63,-2337,-2220,-4620
1605009600000.00,3562,-769,403,3196
1605031200000.00,3604,-1586,1002,3020
1605052800000.00,3782,-1577,374,2579
1605074400000.00,-1119,-4446,-4247,-9812
1605096000000.00,86374,81320,84053,251747
1605117600000.00,4593,-4395,2418,2616
1605139200000.00,5373,-3918,1550,3005
1605160800000.00,-491092,-497534,-495631,-1484257
1605182400000.00,1415,694,378,2487
1605204000000.00,-1728,-8069,-4720,-14517
1605225600000.00,1396,706,404,2506
1605247200000.00,-21478,-26482,-24164,-72124
1605268800000.00,-9171,-12584,-11478,-33233
1605290400000.00,-7364,-10103,-8467,-25934
1605312000000.00,-3406,-9183,-4874,-17463
1605333600000.00,588409,581071,588887,1758367
1605355200000.00,-3581,-8455,-4268,-16304
1605376800000.00,4300,-3883,2440,2857
1605398400000.00,5571,-3880,5738,7429
1605420000000.00,-1940,-7125,-3346,-12411
1605441600000.00,-14288,-21277,-17328,-52893
1605463200000.00,-491,-7819,-3575,-11885
1605484800000.00,-4483,-9695,-6970,-21148
1605506400000.00,-20659,-20396,-24522,-65577
1605528000000.00,2879,-1895,2155,3139
1605549600000.00,-6202,-13021,-8258,-27481
1605571200000.00,-6789,-14447,-8847,-30083
1605592800000.00,-23917,-30644,-29379,-83940
1605614400000.00,-2424,-9996,-7340,-19760
1605636000000.00,-4677,-12363,-6908,-23948
1605657600000.00,4115,-4982,1705,838
1605679200000.00,-10012,-17469,-13954,-41435
1605700800000.00,-2151,-9166,-5393,-16710
1605722400000.00,-10024,-17677,-13765,-41466
1605744000000.00,-9853,-17782,-12797,-40432
1605765600000.00,-26608,-31371,-32061,-90040
1605787200000.00,3930,198,-775,3353
1605808800000.00,-8270,-12437,-11725,-32432
1605830400000.00,-5071,-10454,-8734,-24259
1605852000000.00,534856,532574,536047,1603477
1605873600000.00,-17440,-22518,-20839,-60797
1605895200000.00,-14179,-21230,-15829,-51238
1605916800000.00,-17247,-25727,-19206,-62180
1605938400000.00,-4434,-12168,-9346,-25948
1605960000000.00,-6315,-12978,-8604,-27897
1605981600000.00,495970,488675,497975,1482620
1606003200000.00,-18275,-25548,-19917,-63740
1606024800000.00,-17146,-20942,-22012,-60100
1606046400000.00,-3019,-5172,-5025,-13216
1606068000000.00,-437,-5765,-4925,-11127
1606089600000.00,-9055,-14552,-14402,-38009
1606111200000.00,-473,-5441,-3649,-9563
1606132800000.00,3824,-1982,1098,2940
1606154400000.00,496997,491484,501301,1489782
1606176000000.00,3593,-2438,2081,3236
1606197600000.00,10,-10079,-6055,-16124
1606219200000.00,2837,-3140,2577,2274
1606240800000.00,-2657,-9596,-3942,-16195
1606262400000.00,3302,-3643,2727,2386
1606284000000.00,-4174,-10123,-5091,-19388
1606305600000.00,2994,-2621,1959,2332
1606327200000.00,3170,-1804,971,2337
1606348800000.00,3193,-2059,1159,2293
1606370400000.00,-2437,-8832,-5123,-16392
1606392000000.00,2653,-1216,1084,2521
1606413600000.00,497519,492969,502550,1493038
1606435200000.00,-6209,-12786,-6517,-25512
1606456800000.00,-490059,-496142,-494836,-1481037
1606478400000.00,495529,493121,502126,1490776
1606500000000.00,-3715,-8855,-7349,-19919
1606521600000.00,-4718,-11070,-8489,-24277
1606543200000.00,-6328,-13343,-12635,-32306
1606564800000.00,3864,-1638,662,2888
1606586400000.00,4537,-2018,-16,2503
1606608000000.00,-3376,-10309,-6806,-20491
1606629600000.00,2050,-673,-3824,-2447
1606651200000.00,495394,495885,499565,1490844
1606672800000.00,426975,423490,426535,1277000
1606694400000.00,-13096,-22582,-18219,-53897
1606716000000.00,-22918,-28987,-28473,-80378
1606737600000.00,499696,494910,498445,1493051
1606759200000.00,1463,512,759,2734
1606780800000.00,1462,513,760,2735
1606802400000.00,-4620,-4999,-4886,-14505
1606824000000.00,1748,710,887,3345
1606845600000.00,-4902,-10317,-6471,-21690
1606867200000.00,-6743,-13197,-9584,-29524
1606888800000.00,396,-3894,-4820,-8318
1606910400000.00,493624,490832,494261,1478717
1606932000000.00,-439399,-447815,-445551,-1332765
1606953600000.00,-467988,-477318,-474149,-1419455
1606975200000.00,481671,474115,479373,1435159
1606996800000.00,4238,-2322,2357,4273
1607018400000.00,-4992,-11980,-6660,-23632
1607040000000.00,4126,-3092,3303,4337
1607061600000.00,2096,-4653,-1584,-4141
1607083200000.00,-19576,-26140,-21305,-67021
1607104800000.00,87855,81848,84223,253926
1607126400000.00,3973,-2361,726,2338
1607148000000.00,1027,-4766,-5827,-9566
1607169600000.00,2923,-474,284,2733
1607191200000.00,3472,-1355,515,2632
1607212800000.00,3063,-326,101,2838
1607234400000.00,-4754,-8849,-9715,-23318
1607256000000.00,3474,-250,-207,3017
1607277600000.00,15528,13197,11844,40569
1607299200000.00,3209,-332,542,3419
