Time,Power - Grid L1,Power - Grid L2,Power - Grid L3,Total
1602663300000.00,,,,0
1602664200000.00,,,,0
1602665100000.00,,,,0
1602666000000.00,,,,0
1602666900000.00,,,,0
1602667800000.00,,,,0
1602668700000.00,,,,0
1602669600000.00,,,,0
1602670500000.00,,,,0
1602671400000.00,,,,0
1602672300000.00,,,,0
1602673200000.00,,,,0
1602674100000.00,,,,0
1602675000000.00,,,,0
1602675900000.00,,,,0
1602676800000.00,,,,0
1602677700000.00,,,,0
1602678600000.00,,,,0
1602679500000.00,,,,0
1602680400000.00,,,,0
1602681300000.00,,,,0
1602682200000.00,,,,0
1602683100000.00,,,,0
1602684000000.00,,,,0
1602684900000.00,,,,0
1602685800000.00,,,,0
1602686700000.00,,,,0
1602687600000.00,,,,0
1602688500000.00,,,,0
1602689400000.00,,,,0
1602690300000.00,,,,0
1602691200000.00,,,,0
1602692100000.00,,,,0
1602693000000.00,,,,0
1602693900000.00,,,,0
1602694800000.00,,,,0
1602695700000.00,,,,0
1602696600000.00,,,,0
1602697500000.00,,,,0
1602698400000.00,,,,0
1602699300000.00,,,,0
1602700200000.00,,,,0
1602701100000.00,,,,0
1602702000000.00,,,,0
1602702900000.00,,,,0
1602703800000.00,,,,0
1602704700000.00,,,,0
1602705600000.00,,,,0
1602706500000.00,,,,0
1602707400000.00,,,,0
1602708300000.00,,,,0
1602709200000.00,,,,0
1602710100000.00,,,,0
1602711000000.00,,,,0
1602711900000.00,,,,0
1602712800000.00,,,,0
1602713700000.00,,,,0
1602714600000.00,,,,0
1602715500000.00,,,,0
1602716400000.00,,,,0
1602717300000.00,,,,0
1602718200000.00,,,,0
1602719100000.00,,,,0
1602720000000.00,,,,0
1602720900000.00,,,,0
1602721800000.00,,,,0
1602722700000.00,,,,0
1602723600000.00,,,,0
1602724500000.00,,,,0
1602725400000.00,,,,0
1602726300000.00,,,,0
1602727200000.00,,,,0
1602728100000.00,,,,0
1602729000000.00,,,,0
1602729900000.00,,,,0
1602730800000.00,,,,0
1602731700000.00,,,,0
1602732600000.00,,,,0
1602733500000.00,,,,0
1602734400000.00,,,,0
1602735300000.00,,,,0
1602736200000.00,,,,0
1602737100000.00,,,,0
1602738000000.00,,,,0
1602738900000.00,,,,0
1602739800000.00,,,,0
1602740700000.00,,,,0
1602741600000.00,,,,0
1602742500000.00,,,,0
1602743400000.00,,,,0
1602744300000.00,,,,0
1602745200000.00,,,,0
1602746100000.00,,,,0
1602747000000.00,,,,0
1602747900000.00,,,,0
1602748800000.00,,,,0
1602749700000.00,,,,0
1602750600000.00,,,,0
1602751500000.00,,,,0
1602752400000.00,,,,0
1602753300000.00,,,,0
1602754200000.00,,,,0
1602755100000.00,,,,0
1602756000000.00,,,,0
1602756900000.00,,,,0
1602757800000.00,,,,0
1602758700000.00,,,,0
1602759600000.00,,,,0
1602760500000.00,,,,0
1602761400000.00,,,,0
1602762300000.00,,,,0
1602763200000.00,,,,0
1602764100000.00,,,,0
1602765000000.00,,,,0
1602765900000.00,,,,0
1602766800000.00,,,,0
1602767700000.00,,,,0
1602768600000.00,,,,0
1602769500000.00,,,,0
1602770400000.00,8902.956731,8861.269231,8673.350962,26437.57692
1602771300000.00,7910.727778,7881.922222,7709.598889,23502.24889
1602772200000.00,6557.957778,6536.722222,6394.571111,19489.25111
1602773100000.00,4460.426667,4453.803333,4358.028889,13272.25889
1602774000000.00,4228.314444,4223.561111,4132.587778,12584.46333
1602774900000.00,3566.727778,3566.614444,3488.755556,10622.09778
1602775800000.00,2624.516667,2631.092222,2574.557778,7830.166667
1602776700000.00,2158.222222,2168.431111,2122.886667,6449.54
1602777600000.00,1698.691111,1712.102222,1675.293333,5086.086667
1602778500000.00,1118.807778,1135.515556,1111.205556,3365.528889
1602779400000.00,455.6666667,473.7933333,464.9077778,1394.367778
1602780300000.00,97.68777778,114.6288889,116.3177778,328.6344444
1602781200000.00,-41.78777778,-33.56444444,-19.84333333,-95.19555556
1602782100000.00,-46.38111111,-33.99111111,-21.04333333,-101.4155556
1602783000000.00,-46.81666667,-34.22888889,-20.67222222,-101.7177778
1602783900000.00,-47.12111111,-34.40666667,-20.98111111,-102.5088889
1602784800000.00,-47.37,-34.65666667,-20.92444444,-102.9511111
1602785700000.00,-47.38222222,-34.64,-21.09777778,-103.12
1602786600000.00,-47.59222222,-34.87888889,-21.17111111,-103.6422222
1602787500000.00,-47.62333333,-35.10444444,-21.12444444,-103.8522222
1602788400000.00,-47.35666667,-34.63222222,-21.12333333,-103.1122222
1602789300000.00,-47.58888889,-34.81111111,-21.25111111,-103.6511111
1602790200000.00,-47.57444444,-34.84333333,-21.18333333,-103.6011111
1602791100000.00,-54.82444444,-34.46,-15.35666667,-104.6411111
1602792000000.00,-47.64666667,-34.55777778,-20.80777778,-103.0122222
1602792900000.00,-47.34444444,-34.59444444,-21.04,-102.9788889
1602793800000.00,-46.75888889,-34.46333333,-20.86666667,-102.0888889
1602794700000.00,-47.25333333,-34.51111111,-21.01333333,-102.7777778
1602795600000.00,-47.24555556,-34.62333333,-21.19777778,-103.0666667
1602796500000.00,-47.21111111,-35.21333333,-21.27222222,-103.6966667
1602797400000.00,-49.37222222,-35.17222222,-19.87333333,-104.4177778
1602798300000.00,-47.57777778,-35.41555556,-21.34555556,-104.3388889
1602799200000.00,-47.34222222,-35.22555556,-21.28333333,-103.8511111
1602800100000.00,-47.55555556,-35.50111111,-21.46,-104.5166667
1602801000000.00,-47.61666667,-35.56111111,-21.30777778,-104.4855556
1602801900000.00,-47.64222222,-35.57555556,-21.35333333,-104.5711111
1602802800000.00,-47.54,-35.65444444,-21.33888889,-104.5333333
1602803700000.00,-46.82,-35.00555556,-21.07555556,-102.9011111
1602804600000.00,-49.27444444,-34.75222222,-19.02666667,-103.0533333
1602805500000.00,-46.81555556,-34.53111111,-20.98333333,-102.33
